Id,Items,ImageURL,Categories,Ratio
93,Perm Smoke,images/93.png,GamePass,80+ Fin
94,Perm Shadow,images/94.png,GamePass,80+ Fin
95,Perm String,images/95.png,GamePass,80+ Fin
96,Perm Rubber,images/96.png,GamePass,50+ Fin
97,Perm Sand,images/97.png,GamePass,80+ Fin
98,Perm Leopard,images/98.png,GamePass,100+ Fin
99,Perm Buddha,images/99.png,GamePass,100+ Fin
100,Perm Dark,images/100.png,GamePass,100+ Fin
101,Perm Venom,images/101.png,GamePass,100+ Fin
102,Perm Gravity,images/102.png,GamePass,140+ Fin
103,Perm Allosaurus,images/103.png,GamePass,120+ Fin
104,Perm Brachio,images/104.png,GamePass,120+ Fin
105,Perm OP,images/105.png,GamePass,120+ Fin
106,Perm Mammoth,images/106.png,GamePass,140+ Fin
107,Perm Spino,images/107.png,GamePass,140+ Fin
108,Perm Ice,images/108.png,GamePass,40+ Fin
109,Perm Flame,images/109.png,GamePass,140+ Fin
110,Perm Magma,images/110.png,GamePass,100+ Fin
111,Perm Light,images/111.png,GamePass,100+ Fin
112,Perm Gas,images/112.png,GamePass,100+ Fin
113,Perm Snow,images/113.png,GamePass,100+ Fin
114,Perm Rumble,images/114.png,GamePass,100+ Fin
115,Perm Quake,images/115.png,GamePass,120+ Fin
116,Perm Gold,images/116.png,GamePass,100+ Fin
117,Perm Spirit,images/117.png,GamePass,120+ Fin
118,Perm Magnet,images/118.png,GamePass,120+ Fin
119,Perm Phoenix,images/119.png,GamePass,180+ Fin
120,Perm Gate,images/120.png,GamePass,140+ Fin
121,Perm Dough,images/121.png,GamePass,180+ Fin
122,Perm Toy,images/122.png,GamePass,180+ Fin
123,Perm Dragon,images/123.png,GamePass,250+ Fin
